"Club","Last Name","First Name","Age","MinutesPlayed","X","Playing Position","Salaire",""
"Atlanta United","Adams","Mohammed ""Mo""","22","93","387","M"," $ 134,999.96 ",""
"Atlanta United","Ambrose","Mikey","25","266","4","D"," $ 72,351.60 ",""
"Atlanta United","Barco","Ezequiel","19","975","4","F"," $ 1,425,000.00 ",""
"Atlanta United","Carleton","Andrew","18","67","164","M"," $ 97,399.96 ",""
"Atlanta United","Escobar","Franco","23","2013","44","D"," $ 300,000.00 ",""
"Atlanta United","Gallagher","Jon","22","0","0","M"," $ 70,250.04 ",""
"Atlanta United","Gonzalez Pirez","Leandro","26","2699","54","D"," $ 810,008.00 ",""
"Atlanta United","Gressel","Julian","26","2686","7954","M"," $ 132,999.96 ",""
"Atlanta United","Guzan","Brad","34","3060","43","GK"," $ 740,004.00 ",""
"Atlanta United","Hyndman","Emerson","22","987","1723","M"," $ 360,000.00 ",""
"Atlanta United","Kann","Alec","28","0","0","GK"," $ 100,008.00 ",""
"Atlanta United","Kratz","Kevin","32","1","16","M"," $ 222,750.00 ",""
"Atlanta United","Larentowicz","Jeff","35","1473","20","D"," $ 210,000.00 ",""
"Atlanta United","Martinez","Josef","25","2578","24","F"," $ 3,058,333.33 ",""
"Atlanta United","Martinez","Pity Nicolas","25","2140","5","F"," $ 900,000.00 ",""
"Atlanta United","Meram","Justin","30","1645","2976","M"," $ 678,754.00 ",""
"Atlanta United","Moore","Brendan","26","0","0","GK"," $ 70,250.04 ",""
"Atlanta United","Nagbe","Darlington","28","2822","6440","M"," $ 665,499.96 ",""
"Atlanta United","Wild","Gordon","23","0","0","M"," $ 129,999.96 ",""
"Atlanta United","Williams","Romario","24","39","0","F"," $ 78,650.04 ",""
"Atlanta United","Parkhurst","Michael","35","1444","11","D"," $ 300,000.00 ",""
"Atlanta United","Pereira","Dion","19","671","687","M"," $ 56,250.00 ",""
"Atlanta United","Pogba","Florentin","28","783","10","D"," $ 324,000.00 ",""
"Atlanta United","Remedi","Eric","23","2050","32","D"," $ 300,000.00 ",""
"Atlanta United","Robinson","Miles","21","2979","51","D"," $ 201,250.08 ",""
"Atlanta United","Shea","Brek","28","911","10","D"," $ 225,000.00 ",""
"Atlanta United","Vazquez","Brandon","20","638","2","F"," $ 166,000.00 ",""
"Atlanta United","Villalba","Hector","24","940","955","M"," $ 830,249.96 ",""
"Chicago Fire","Bornstein","Jonathan","34","911","11","D"," $ 263,200.00 ",""
"Chicago Fire","Bronico","Brandt","23","1866","3864","M"," $ 90,624.96 ",""
"Chicago Fire","Calvo","Francisco","26","2565","40","D"," $ 672,600.00 ",""
"Chicago Fire","Campos","Diego","23","440","4","D"," $ 72,825.04 ",""
"Chicago Fire","Cleveland","Stefan","24","0","0","GK"," $ 70,250.04 ",""
"Chicago Fire","Corrales","Jorge Luis","27","1034","15","D"," $ 70,250.04 ",""
"Chicago Fire","Edwards","Raheem","23","245","795","M"," $ 70,250.04 ",""
"Chicago Fire","Ferreira","Marcelo","29","1151","21","D"," $ 797,499.96 ",""
"Chicago Fire","Frankowski","Przemyslaw","23","2303","5","F"," $ 661,687.50 ",""
"Chicago Fire","Gaitan","Nicolas","30","2006","4469","M"," $ 2,197,504.00 ",""
"Chicago Fire","Gutjahr","Jeremiah","21","503","1197","M"," $ 56,250.00 ",""
"Chicago Fire","Herbers","Fabian","25","780","1010","M"," $ 135,000.00 ",""
"Chicago Fire","Kappelhof","Johan","28","2560","37","D"," $ 577,833.29 ",""
"Chicago Fire","Katai","Aleksandar","27","2100","3347","M"," $ 1,380,333.33 ",""
"Chicago Fire","Kronholm","Kenneth","33","1800","27","GK"," $ 150,996.00 ",""
"Chicago Fire","Lillard","Grant","23","206","5","D"," $ 97,500.04 ",""
"Chicago Fire","Martinez","Cristian","21","55","169","M"," $ 88,406.71 ",""
"Chicago Fire","McCarty","Dax","31","2846","9143","M"," $ 700,000.08 ",""
"Chicago Fire","Mihailovic","Djordje","20","1450","3593","M"," $ 114,600.00 ",""
"Chicago Fire","Moreno","Amando","23","82","71","M"," $ 72,750.04 ",""
"Chicago Fire","Nikolic","Nemanja","31","1991","12","F"," $ 1,913,333.37 ",""
"Chicago Fire","Ousted","David","33","1260","20","GK"," $ 361,136.43 ",""
"Chicago Fire","Reynolds","Andre","17","0","0","D"," $ 64,250.00 ",""
"Chicago Fire","Sanchez","Richard","24","0","0","GK"," $ 152,500.00 ",""
"Chicago Fire","Sapong","CJ","30","2547","13","F"," $ 475,000.08 ",""
"Chicago Fire","Schweinsteiger","Bastian","34","2675","12354","M"," $ 5,600,000.04 ",""
"Colorado Rapids","Abubakar","Lalas","24","1980","26","D"," $ 144,937.50 ",""
"Colorado Rapids","Acosta","Kellyn","23","2615","40","D"," $ 664,999.96 ",""
"Colorado Rapids","Anderson","Sebastian","16","314","2","D"," $ 80,916.67 ",""
"Colorado Rapids","Bassett","Cole","17","1059","1574","M"," $ 84,000.00 ",""
"Colorado Rapids","Blomberg","Johan","31","88","0","F"," $ 250,962.00 ",""
"Colorado Rapids","Howard","Tim","39","2159","46","GK"," $ 2,475,000.04 ",""
"Colorado Rapids","Hundley","Matt","18","0","0","F"," $ 99,000.04 ",""
"Colorado Rapids","Irwin","Clint","29","901","17","GK"," $ 138,707.24 ",""
"Colorado Rapids","Jackson","Niki","23","39","0","F"," $ 57,225.00 ",""
